restaurant_name,overall_score,food_score,ambience_score,service_score,good_dishes,bad_dishes,review
L'Artusi,10,10,10,10,"mushroom and egg, ricotta toasts, ricotta pasta, olive oil cake",,"Edges out its sister restaurant Dell Anima because of the bigger menu and bigger space. The wine list is extraordinary with wines in every budget, the mushroom and egg dish is not to be missed and all of the pastas never disapoint. This restaurant is versatile enough for dates, family dinners and client events.  Dishes are small but are built to be shared"
Locanda Verde,6,5,6,4,ricotta appetizer,pesto pasta,"Overrated, rude staff, totally overbooked, small cramped space. So unless you want mediocre food with a long wait, small portions and bad service you can skip this place. The only sunny spot is the take out bakery in the front. If you do go, order the fresh ricotta with orange toast. "
Paprika,8,7,8,8,peasant pasta,,"Great food and laid back. Standby dish is pizzocherri pasta but everything is very well made and don't think one entre is over $25. Even go there for brunch. Perfect neighborhood go-to italian joint."
Peels,9,10,8,9,"grilled cheese tea sandwiches, macaroni and cheese, baked eggs, grits",,"HIDDEN GEN, Despite the B health service score in the window, this is a fatty indulgence but try the grilled cheese sandwiches, baked eggs with spinach on grits and their soups. The food is great quality even if its not healthy and the décor and service is extemely trendy and cute. "
Shake Shack - Madison Square Park,10,10,4,10,"portabella mushroom burger, cheese fries",,"With more outposts opened up, you don't have to wait in line as long as you used to! The portabella mushroom burger is stuffed with cheese and then deep fried so it's just about the best thing on earth. "
Stanton Social,7,6,6,8,"grilled cheese, perogies",,"Huge menu, all the food is executed well but the room is very noisy and typically filled with large groups. The best part is that everyone can find something they like on the menu"
Tamarind Tribeca,6,6,8,5,malai kofta,"stuffed paneer, spinach subji","Very mixed on this place, for some reason the quality doesn't meet the standards set by the Gramercy location  but this space is much bigger, trendier and prettier. The service is very confused, the servers awkwardly linger, bring food out at random times and are not attentive. I think they overreached their  menu on this one adding ""creative"" dishes when they would  have been better served with the original  menu"
The Fat Radish,9,9,9,9,vegetable pot pie,root veggie mix,"Great food, great people, great space, it is really busy and fun and the food is delicious. One of the few bright spots in the LES that has great service and good abience. The menu is also inventive, especially  the celery pot pie"
Tortilla Flats,5,5,5,5,,,"Not great quality food, but great for a fun night out in a place that doesn't require any dignity. Be prepared for a place decorated in flammable christmas lights and streamers. The food is poor quality but it's not about the food, it's about the Bingo and the pitchers of margarita!"
Union Square Cafe,10,10,10,10,pasta,,"The consistently high quality of food, the ingredient and flavors make it one of the few restaurants of its caliber that are real deals. The service is very attentive and warm, almost feels like you are eating at someones home. All pastas homemade"
Viet Cafe,7,7,6,6,rice paper crepes,,"If you need a good quick bite in tribeca that’s somewhat healthier than Dean's pizza this is your place. Service is random, they seem to forget about you at times and the prices are quite high for neighborhood thai but it’s a pleasant place to sit with a menu full of  healthy veggie options"
