"name","score","summary","recommended","avoid","date","author","url","rwd","ts-score","site"
"Commerce","**","A swank, overheated establishment...More often than not, however, the food at Commerce is improbably good. ","Duck rillettes, orecchiette with rag? of ""odd things,"" braised beef, chocolate souffl?.",,2008-04-27,"Adam Platt","http://nymag.com/restaurants/reviews/46441/","W",7,2
"Community Food and Juice",,,,,,,,,,2
"Congee Village",,,,,,,,,,2
"Convivio","***","Like many things on the inspired new menu at Convivio, it doesn't taste like some made-over, tricked-up, big-city version of an old Italian classic. It tastes like Italy itself.","Chicken-liver crostini or sardines, fusilli with pork rag? or maccheroni, swordfish involtini or squab, chocolate torta. ",,2008-09-07,"Adam Platt","http://nymag.com/restaurants/reviews/49917/","R",9,2
"Cookshop","Unrated","Cookshop has the relaxing feel of a Soho loft's eat-in kitchen?entr?es revel in an every-day-is-an-American-holiday kind of comforting exuberance.","Smoked bluefish, spit-roasted rabbit, brioche-bread pudding ",,2005-11-12,"Hal Rubenstein","http://nymag.com/nymetro/food/reviews/restaurant/15051/","R",8,2
"Corner Bistro",,,,,,,,,,2
"Corton","****","As dinner progresses you get a sense of time suspended, of being pleasantly inoculated from the cares of the outside world?combines the best qualities of modern cooking with the vanishing world of haute cuisine, brings them together for one last curtain call, and makes them sing.","Veal sweetbreads, wild striped bass, chicken for two, caramel brioche ",,2008-11-16,"Adam Platt","http://nymag.com/restaurants/reviews/52161/","R",9,2
"Craft","****","Tom Colicchio is a fanatic for the integrity of fresh ingredients and simplicity in cooking, and this much-discussed, much-imitated restaurant is the extreme, almost priestly expression of his views.","Scallops, Lamb Loin, Roasted Halibut, Toffee-Steamed Pudding",,,"Adam Platt","http://nymag.com/listings/restaurant/craft/","R",9,2
"Craftbar","Unrated","None of this food is bad. In fact, much of it is good. But the restaurant's intimacy is gone, and with it that certain quality of specialness. The clean simplicity of the old menu is gone, too, replaced by a kind of baroque Greenmarket showiness.","Cold terrines, pecorino fondue, duck or pork, brown-sugar cake. ","Cavatelli",2005-08-14,"Adam Platt","http://nymag.com/nymetro/food/reviews/restaurant/12457/","W",6,2
"Crema",,,,,,,,,,2
"Crispo",,,,,,,,,,2
"Da Andrea",,,,,,,,,,2
"Daisy Mays BBQ",,,,,,,,,,2
"Daniel","****","Daniel Boulud really is special. He's been blessed with the glorious gift of being able to mix familiar flavors into the most stunning of summations","Paupiette of sea bass, braised short ribs",,,"Hal Rubenstein","http://nymag.com/listings/restaurant/daniel/","R",9,2
"Danny Brown Wine Bar and Kitchen",,,,,,,,,,2
"David Burke Townhouse","Unrated","Burke's food, which is characteristically inventive, sometimes over-the-top, and often delicious. Many of the dishes are arranged with circus props, in toppling towers, and at my table people kept swiveling their heads as the food went by.","Crisp and Angry Lobster Cocktail, Blue Crab Ravioli, Sea Scallops, Dover Sole","Lobster Steak, Squab",2004-03-15,"Adam Platt","http://nymag.com/nymetro/food/reviews/restaurant/n_10005/","W",7,2
"DB Bistro Moderne","Unrated","Boulud's monument to relaxed dining...The menu, executed by chef de cuisine Jean Fran?ois Bruel, is the same for both rooms at DB, and its contents are generally superb...the arrival time for entr?es at DB can be glacially slow, although they're usually worth the wait.","Vitello Tonnato, Gazpacho, DB Burger, Sirloin Steak","Moroccan Tuna",2001-08-20,"Adam Platt","http://nymag.com/nymetro/food/reviews/restaurant/5076/","W",7,2
"DBGB","*","Boulud's latest experiment in downmarket dining?excellent sausages, which have catchy names like ""Beaujolaise""...None of the entr?es are groundbreaking","Asparagus and fried egg, Beaujolaise, Vermont sausages, lemon-and-rosemary chicken, Grand Marnier souffl?. ","Frenchie",2009-09-06,"Adam Platt","http://nymag.com/restaurants/reviews/58836/","W",6,2
"Dean's",,,,,,,,,,2
"Del Frisco's ",,,,,,,,,,2
"Del Posto","***","It's about spectacle and entertainment...the cooking is generally superb. But if you've managed to fight your way into Babbo over the last few years, none of it is exactly revelatory...Del Posto represents Batali's conspicuous, somewhat strained attempt to put Italian cooking on the same level as high French cuisine. ","Grilled radicchio, Chestnut ravioli with pigeon, Squab, Veal Rack, Pork loin, Calf's liver, Apricot cassata.","Roast Rabbit, Lamb's Kidneys",2006-02-05,"Adam Platt","http://nymag.com/restaurants/reviews/15717/","W",7,2
"Dell' Anima",,,,,,,,,,2
"Demarchelier",,,,,,,,,,2
"Desnuda",,,,,,,,,,2
"Devi","***","A flagship establishment. The room is decorated with wall-length saffron-colored curtains and a ceiling full of hand-painted lanterns imported from the subcontinent. Most important of all, however, are the two new chefs in the kitchen.","Manchurian cauliflower, tandoori lamb chops, kulfi with citrus soup",,2005-05-21,"Adam Platt","http://nymag.com/nymetro/food/reviews/restaurant/10586/","R",9,2
"Dhaba",,,,,,,,,,2
"Dim Sum Go Go",,,,,,,,,,2
"Diner",,,,,,,,,,2
"Dinosaur Bar B Que",,,,,,,,,,2
"Dirt Candy",,,,,,,,,,2
"Do Hwa",,,,,,,,,,2
"Docks Oyster Bar and Grill",,,,,,,,,,2
"Dos Toros Taqueria",,,,,,,,,,2
"Double Crown",,,,,,,,,,2
"Dovetail","***","The author of this unexpected little miracle is a chef named John Fraser?veteran of?French Laundry?there's an edited, unhurried quality to the cooking, and the pride of ownership is apparent in almost every dish. ","Pork belly, rack of lamb, brioche bread pudding","Duck Breast",2008-02-04,"Adam Platt","http://nymag.com/restaurants/reviews/43561/","R",8,2
"Dressler",,,,,,,,,,2
"DuMont",,,,,,,,,,2
"East Side Social Club",,,,,,,,,,2
"Ed's Lobster Bar",,,,,,,,,,2
"Egg",,,,,,,,,,2
"El Faro",,,,,,,,,,2
"El Parador",,,,,,,,,,2
"El Paso Taqueria",,,,,,,,,,2
"Elephant and Castle",,,,,,,,,,2
"Eleven Madison Park","***","This food tends to be set on the plate with an extreme, almost Pointillist precision, often in servings barely big enough to feed a cat. But what Mr. Humm's recipes lack in heft, they make up for in inventiveness, concentrated flavor, and technique. ","Foie gras with bing cherries, gnocchi, suckling pig, chocolate-caramel tart","Watermelon and Tomato Salad, Corn Chowder, Trio of Fish, Lobster",2006-08-20,"Adam Platt","http://nymag.com/restaurants/reviews/19379/","R",8,2
"Emporio",,,,,,,,,,2
"EN Japanese Brasserie","Unrated","The food is often very good at EN, and the way the proprietors have taken a specific, even obscure, form of Japanese cooking, and blown it into a high-volume, bridge-and-tunnel extravaganza, is a study in clever rebranding...The house sushi is decent but not spectacular","Yuba Sashimi, Avocado Salad, Pork Shoulder, Pork Belly","Octopus with Miso, Beef Tongue, Black Cod",2005-05-21,"Adam Platt","http://nymag.com/nymetro/food/reviews/restaurant/10383/","W",5,2
"Esca","***"," At Esca, the overachiever in the orange clogs, partner Joe Bastianich, and chef David Pasternack do for Southern Italian seafood what Le Bernardin has done for French. ","Gnocchi, Crudo, Spaghetti with Lobster, Whole Fish",,,"Robin Raisfeld & Rob Patronite","http://nymag.com/listings/restaurant/esca/","R",8,2
"Esperanto",,,,,,,,,,2
"Ethos",,,,,,,,,,2
"Extra Virgin",,,,,,,,,,2
"Fairway Cafe ",,,,,,,,,,2
"Falai","**","A group of Italians sat next to us, wreathed in Armani scarves... the food has a kind of self-conscious lightness to it.","Sfogliata, Fettucini with Truffle, Spinach and Ricotta Gnudi, Risotto, Lamb Chops, Polenta Bianca, Honey-Glazed Duck","Baby Octopus",2006-01-08,"Adam Platt","http://nymag.com/nymetro/food/reviews/restaurant/15476/","R",8,2
"Fanelli Cafe",,,,,,,,,,2
"Fatty Crab","Unrated","Straight-up Malaysian fare inspired by food Pelaccio cooked and ate when he lived there...In typical small-plate fashion, diners are encouraged to share, and plates emerge from the open kitchen as they're ready...food-focused glory","Oyster omelet, fatty duck, skate panggang, nasi lemak, broccoli with salted fish, Green Mango, Pork Ribs, Short-Rib Rendang, Chili Crab",,2005-10-23,"Robin Raisfeld & Rob Patronite","http://nymag.com/nymetro/food/reviews/underground/14857/","R",9,2
"Fatty 'Cue","**","One of the great destinations of this year's barbecue season...all sorts of strange, unexpected delicacies emerge from the smoker...first to combine the classic salty-sweet flavor profile of the East with the bulky, messy, down-home goodness of authentic American barbecue.","Legend, Noodles with Meat Juices, Heritage Pork Ribs, Bobo Chicken",,2010-08-01,"Adam Platt","http://nymag.com/restaurants/reviews/67376/","R",8,2
"Felidia",,,,,,,,,,2
