"name","score","summary","recommended","ts-score","rwd","date","site"
"Chef's Table at Brooklyn Fare","**","Incredible nightly dinners in this gleaming, intimate workspace?dishes described simply on the menu translate to culinary genius on the plate.  ","1) Black bass in dashi with foie gras, sweeet peas, fava beans, and fresh squit and truffle 2) Pork Loin and belloy with crispy skin and mushroom puree.",9,"R",2010-10-01,3
"Cho Dang Gol","Bib Gourmand","Cho Dang Gol has its own thing going on - namely tofu.  The restaurant is named for a South Korean village that's famous for the stuff?When the house gets packed, servers respond with brusque efficiency.","1) Hot and Crispy Pancakes with Pork, 2) Cast Iron Pot with Octopus and Mushrooms",10,"R",2010-10-01,3
"Chola",,,,,,2010-10-01,3
"Ciano",,,,,,2010-10-01,3
"Citrus Bar and Grill",,,,,,2010-10-01,3
"City Winery",,,,,,2010-10-01,3
"Clinton St Baking Co",,,,,,2010-10-01,3
"Co. ",,,,,,2010-10-01,3
"Colicchio and Sons",,,,,,2010-10-01,3
"Commerce",,,,,,2010-10-01,3
"Community Food and Juice",,,,,,2010-10-01,3
"Congee Village","Bib Gourmand","With more than 25 varieties of congee, this attractive spot specializing in Cantonese cuisine is sure to win over even the most wary?has a warm ambience.  Large tables, a buzzing bar area.","1) Congee, 2) Pan-fried Egg with Silver Fish, Jellyfish, and rice.",10,"R",2010-10-01,3
"Convivio","*","The city's high-end Italian food scene hasn't been the same since?The unendingly-elegant space?But the real star of this show is Chef Michale White's Southern Italian menu.","1) Tomato and Guanciale confit tortelli in cacio e pepe 2) lobster with fregola sarda 3) Baby potatoes with pecorino",8,"R",2010-10-01,3
"Cookshop",,,,,,2010-10-01,3
"Corner Bistro",,,,,,2010-10-01,3
"Corton","**","Good looks aside, what really sets the foodies' hearts afire is Liebrandt's irresistibly modern French fare, which sounds simple on the menu and is anything but.  ","1) John Dory with black truffle  and coconut milk and lemongrass sauce 2) Chocolate tart in pastry crust with hazelnuts, grapefruit sourbet, and anise foam",9,"R",2010-10-01,3
"Craft",,,,,,2010-10-01,3
"Craftbar",,,,,,2010-10-01,3
"Crema",,,,,,2010-10-01,3
"Crispo","Bib Gourmand","Impressive Northern Italian fare is what keeps fans returning again and again.  The large room fills up easily and is effortlessly comfortable with attentive service.  ","1) Fettucine with Scampi, 2) Prosciutto Small Plates, 3) Panna Cotta",10,"R",2010-10-01,3
"Da Andrea",,,,,,2010-10-01,3
"Daisy Mays BBQ","Bib Gourmand","One of the city's Best barbeque joints?Everyone from bankers to bike messengers frequent Daisy May's for its fantastic food and friendly aura.","1) Big Pig Gick (order 2 days in advance) 2) Spicy Chili",10,"R",2010-10-01,3
"Daniel","***","It's worth the hype?is an effortless example of fine dining done right, with precise, smooth-as-roller-balls service, impeccable attention to detail, and otherworldly French Fare.","1) Artichoke raviolini in safron sauce with clams scallops, and squid, 2) Artic Char with Main Srhimp salsify, cipollini marmalde and Dijon mustard-chicken jus",10,"R",2010-10-01,3
"Danny Brown Wine Bar and Kitchen","*","Queens gets a big old notch on its foodie belt with this Forest Hills gem.  Part French wine bar; Spanish tapas joint; and Italian enoteca?.the result is pure magic: a warm sophisticated restaurant that comes alive at night.","1) Crispy Serrano Ham nd cheese croquettes 2) Praws over sunchoke puree 3) Ricotta Gnocchi with english peas, mint, and pesto",8,"R",2010-10-01,3
"David Burke Townhouse",,,,,,2010-10-01,3
"DB Bistro",,,,,,2010-10-01,3
"DBib GourmandB","Bib Gourmand","Daniel Boulud's very popular take on casual, downtown dining?The Chef's gilded yet fun, new approach here is clear in everything.","1) Matzoh Ball Soup, 2) Escargot, 3) Burgers",10,"R",2010-10-01,3
"Deans",,,,,,2010-10-01,3
"Del Frisco's ",,,,,,2010-10-01,3
"Del Posto","*","As grand as an opera house?The rustic Italian menu?reads deceptively simple, but no?This kind of paradiso will cost you.  ","1) Carne cruda with truffle sals 2) Spaghetti with dngeness crab 3) pork loin with sunchoke pure",8,"R",2010-10-01,3
"Dell'Anima",,,,,,2010-10-01,3
"Demarchelier",,,,,,2010-10-01,3
"Desnuda",,,,,,2010-10-01,3
"Devi",,,,,,2010-10-01,3
"Dhaba",,,,,,2010-10-01,3
"Dim Sum Go Go","Bib Gourmand","Bright, funky, Chinatown spot?A most excellent selection of dim sum?Cantonese menu that is something to marvel over and savor.","1) Steamed buns of gogo ""hamburgers"", 2) Roast-pork pies",10,"R",2010-10-01,3
"Diner","Bib Gourmand","Do not let Diner's impossibly hip crowd and rather ramshackle seetting deter you?Impressively unfussy kitchen.","1) Seafood stew",10,"R",2010-10-01,3
"Dinosaur Bar B Que","Bib Gourmand","With a roadhouse style vibe, this upbeat, unpretentious eatery sports a casual, family-friendly setting with lare tables, a lively bar, and fantastic food.  ","1) BBQ Chicken Wings, 2) Ribs and Half Chicken Combo",10,"R",2010-10-01,3
"Dirt Candy","Bib Gourmand","Skillfully crafts vegetarian fare?both devotees and skeptics alike are impressed by this menu of unique items.","1) Portobello Mousse, 2) Golden Crisped Tofu, 3) Zucchini-Ginger Cake",10,"R",2010-10-01,3
"Do Hwa",,,,,,2010-10-01,3
"Dock's Oyster Bar and Grill",,,,,,2010-10-01,3
"Dos Toros Taqueria",,,,,,2010-10-01,3
"Double Crown",,,,,,2010-10-01,3
"Dovetail","*","This is the kind of place you travel uptown to hit?Add a couple points for the impeccable service staff?and then let the food seal the deal.","1) Almond gazpacho 2) Gnocchi with corn 3) Rainbow Trout 4) Brioche bread pudding",8,"R",2010-10-01,3
"Dressler","*","Chef Polo Dobkin has an eye for minutia, and his finely-tuned American cuisine gets a contemporary polish.","1) Artichoke Salad with cranberrty beans 2) Roasted Chicken over polenta",8,"R",2010-10-01,3
"DuMont",,,,,,2010-10-01,3
"East Side Social Club",,,,,,2010-10-01,3
"Ed's Lobster Bar","Bib Gourmand","A good mix of food-savvy Nyers, Ed's is that ideal sanctum for anyone who wishes to escape to New England for an hour.  ","1) Fried Calamari, 2) Clam Chowder, 3) Lobster Roll",10,"R",2010-10-01,3
"Egg","Bib Gourmand","Daily breakfast well into the afternoon, Egg's slender dining room seems to serve as a remote office for Williamsburg's work-from-home set.  On weekends the wait for a table can be lengthy.  ","1) Buttermilk Biscuits, 2) Granola, 3) Fried Chicken",10,"R",2010-10-01,3
"El Faro",,,,,,2010-10-01,3
"El Parador","Bib Gourmand","Killer margaritas, tasty Mexican food, accomodating staff, and its ""you want it, you got it"" ethos (don't hesitate to order something not found on the menu).  ","1) Taco Tray, 2) Nachos",10,"R",2010-10-01,3
"El Paso Taqueria","Bib Gourmand","Sweet Tacos!...A nice lineup of Poblano standards?save room for killer sangrias.","1) Tamales Oaxaquenos, 2) New Zealand Lamb in Maguey leaf",10,"R",2010-10-01,3
"Elephant and Castle",,,,,,2010-10-01,3
"Eleven Madison Park","*","Beautiful environs, breathtaking food?Swish chef Daniel Humm spins impeccably fresh, seasonal ingredients and small farm meats into creative contemporary fare.","1) Colorado lamb loin 2) poached lobster tail",8,"R",2010-10-01,3
"Emporio","Bib Gourmand","This idyllic Italian eatery has loads of rustic appeal?Usually swarming with crowds on weekends, the menu epitomizes fresh ingredients in tasty preparations.","1) Cured Meats, 2) Squash Blossoms, 3) Pizza, 4) Oven Roasted Rabbit",10,"R",2010-10-01,3
"EN Japanese Brasserie",,,,,,2010-10-01,3
"Esca",,,,,,2010-10-01,3
"Esperanto",,,,,,2010-10-01,3
"Ethos",,,,,,2010-10-01,3
"Extra Virgin",,,,,,2010-10-01,3
"Fairway Cafe ",,,,,,2010-10-01,3
"Falai",,,,,,2010-10-01,3
"Fanelli Cafe",,,,,,2010-10-01,3
"Fatty Crab","Bib Gourmand","A creative Malaysian small plates joint tucked into a cozy storefront?the front patio and small dining room, filled with a few-too-many dark wood tables, fill up fast so arrive early for dinner.  One heck of a deal in the $19 prix-fixe lunch.","1) Fatty Crab",10,"R",2010-10-01,3
"Fatty Cue","Bib Gourmand","Lip-smacking mash-up of Southeast Asian influenced barbeque","1) Ikan Baker, 2) Beef Brisket",10,"R",2010-10-01,3
"Felidia",,,,,,2010-10-01,3
"Fette Sau",,,,,,2010-10-01,3
"Fish",,,,,,2010-10-01,3
"Five Napkin Burger Broadway",,,,,,2010-10-01,3
"Five Points",,,,,,2010-10-01,3
"Flex Mussels (82nd Street)",,,,,,2010-10-01,3
"Fonda Nolita",,,,,,2010-10-01,3
"Four Seasons",,,,,,2010-10-01,3
"Frank",,,,,,2010-10-01,3
"Frankies 17 Supntino",,,,,,2010-10-01,3
"Frankies 457 Spuntino","Bib Gourmand","Rustic and deliciously homestyle Italian that strives to highlight its relationship with local producers?This menu richly satisfied both serious foodies and old-school Brooklynites in a cozy setting.","1) Papardelle with braised lamb 2) Cured meats and formaggio",10,"R",2010-10-01,3
"Franny's","Bib Gourmand","Passion for sustainable agriculture, Franny's is an inviting spot.  An affable staff, comfortable front bar, and stack of highchairs imply all ages are welcome.","1) Clam Pie",10,"R",2010-10-01,3
"Freeman's ",,,,,,2010-10-01,3
"Garden Court Cafe","Bib Gourmand","Though it doesn't generate much fanfare, it is worht seeking out, not only for its quiet ambience, but for the Asian dishes that expertly fuse east and west?It's a quality show, right down to the careful presentation and good service.","1) Roasted Chicken, 2) Bento Box",10,"R",2010-10-01,3
"Gemma",,,,,,2010-10-01,3
"Gennaro","Bib Gourmand","There might be a wait at this bright, boisterous trattoria, because the throngs of regulars who flood the place know that it can't be beat?The food payout is worth it.","1) Bucatini, 2) Monkfish Fillets",10,"R",2010-10-01,3
"Georgia's Eastside BBQ",,,,,,2010-10-01,3
"Gilt","**","It's tough to do Gilt's 'wow factor' justice by words alone?Gilt's real gimme is that the food actually stacks up to all that grandeur.","1) Diver Scallops with pureed pumpkin, 2) Ribeye with breadcrubs and Manchego with arugula puree and quince paste",9,"R",2010-10-01,3
"Gobo",,,,,,2010-10-01,3
"Golden Unicorn","Bib Gourmand","The d?cor feels a bit worn, waits are guaranteed at peak dim sum times (11:00am - 2:00pm) and all groups must be on their game to flag the speeding carts, but this perennial favorite is undeniably fun and delicious.","1) Roast Duck, Fried Sticky Pork Dumplings, 2) Steamed bean-curd-skin rolls, 3) Snow Pea Shoot Buns",10,"R",2010-10-01,3
"Good Fork (The)","Bib Gourmand","Guests can either duck into the quaint dining room, reminiscent of a train car from a bygone era, or head back to a small patio surrounded by an iron gazebo?Storybook, yes, but the lovingly prepared dishes seal the deal.","1) Korean Style Steak and Eggs, 2) Burger and Onion Rings",10,"R",2010-10-01,3
"Gordon Ramsay at The London",,,,,,2010-10-01,3
"Gotham Bar and Grill","*","Simple, but perfect? a 25 year-old Village mainstay...A gift for spinning seasonal products into art?","1)Tuna Tartare, 2) Black Sea Bass Ceviche, 3) Miso-Marinated Black Cod",8,"R",2010-10-01,3
"Gramercy Tavern","*","This cat is doing something right.  Try killer ambiance?and gorgeous, straightforward, American fare.","1) Pork Croquette, 2) Smoked Arctic Char, 3) Kiwi Sorbet Sundae",8,"R",2010-10-01,3
"Grand Sichuan",,,,,,2010-10-01,3
"Great Jones Cafe",,,,,,2010-10-01,3
"Grimaldi's",,,,,,2010-10-01,3
"HanGawi","Bib Gourmand","In the serene space?it's easy to forget you're in Manhattan.  The menu is all vegetarian, in keeping with the philosophy of healthy cooking to balance the um and yang.","1) Vermicelli Delight, 2) Kimchi and Mushroom Pancakes, 3) Tofu Clay Pot in Ginger Sauche, 4) Kimchi Stone Bowl Rice",10,"R",2010-10-01,3
"Haru",,,,,,2010-10-01,3
"HB Burger",,,,,,2010-10-01,3
"Hearth",,,,,,2010-10-01,3
"Hecho en Dumbo","Bib Gourmand","Edgy downtown vibe...Small plates and contemporary fare shap the made-from-scratch menu built around house made tortillas, bolillo bread, and queso Oaxaca","1) Pescadillas, 2) Molletas",10,"R",2010-10-01,3
"Hell's Kitchen",,,,,,2010-10-01,3
"Hide-Chan Ramen",,,,,,2010-10-01,3
"Hill Country",,,,,,2010-10-01,3
"Hill Country Chicken",,,,,,2010-10-01,3
"Home",,,,,,2010-10-01,3
"Hunan House","Bib Gourmand","A plain, but tidy, little joint pushing out authentic, hard-to-find Hunanese fare.  ","1) Braised Fish Head, 2) Beef with Pickled Peppers, 3) Hunan Style Spare Ribs",10,"R",2010-10-01,3
"Hundred Acres",,,,,,2010-10-01,3
"Hurricane Club",,,,,,2010-10-01,3
"I Sodi",,,,,,2010-10-01,3
"Il Bagatto",,,,,,2010-10-01,3
"Il Bastardo",,,,,,2010-10-01,3
"Il Buco",,,,,,2010-10-01,3
"il Cantinori",,,,,,2010-10-01,3
"Il Mulino",,,,,,2010-10-01,3
"Il Pesce",,,,,,2010-10-01,3
"Il Posto Accanto",,,,,,2010-10-01,3
"Il Vagabondo",,,,,,2010-10-01,3
"Ino",,,,,,2010-10-01,3
"Inoteca (rivington street location)",,,,,,2010-10-01,3
"inoteca e Liquori Bar","Bib Gourmand","Dressier than her downtown sister, 'inoteca e Liquori Bar brings a beloved menu of small plates to Gramercy?It is here that ownders Jason and Joe Denton have decied to truly elaborate on the 'inoteca theme.","1) Antipasti, 2) Panini, 3) Baked Rigatoni with Cauliflower",10,"R",2010-10-01,3
"Insieme",,,,,,2010-10-01,3
"Ippudo",,,,,,2010-10-01,3
"Island Burgers and Shakes",,,,,,2010-10-01,3
"Jack the Horse","Bib Gourmand","A homey, exposed brick tavern that's been kept under wraps by the locals who frequent it.  ","1) Artichoke, Pancetta Cheesecake, 2) Pan Seared Hake, 3) Coconut Pana Cotta",10,"R",2010-10-01,3
"Jaiya","Bib Gourmand","This beloved spicy stalwart now has been revitalized with a slicker look?rest assured that the vast, budget-friendly menu remains as delicious as ever.","1) Spring Roll, 2) Stir Fries with Basil, Garlic, and Kaffir Lime, 3) Curry with Shrimp and Tilapia",10,"R",2010-10-01,3
"Jane",,,,,,2010-10-01,3
"Jean Claude","Bib Gourmand","With its tight-knit tables, lived-in good looks, and soft French music?this romantic little bistro could be straight off of Paris' Left Bank.","1) Moules Marinieres, 2) Hangar Steak, 3) Cr?me Brulee ",10,"R",2010-10-01,3
"Jean Georges","***","This is New York fine dining at its grandest?Vongerichten's passion for flavor and texture? and a service staff sent from the gods.","1) Sea Urchin with black bread, yuzu and jalapeno 2) Fried Sweetbreads with Alsatian potato salad, 3) seared duck breast with curshed almonds and amaretto jus",10,"R",2010-10-01,3
"Jewel Bako","*","As jammed as the place stays, you'll still find a smooth operation, led by an understated, but incredibly sharp, service statff, and a kitchen with extremely talented roster of sushi chefs who somehow manage to throw plenty of love, attention, and deetail into every bite.","1) Sushi 2) Sashimi 3) Chocolate Shortbread Cookies",8,"R",2010-10-01,3
"JG Melon","Bib Gourmand","It's a multi-generational watering hole for the masses, feeding Upper East Siders burgers and beers in a convivial setting that hasn't changed over the generations?Sure tables are tight and the waits can be long, but the service is jovial and it's come-as-you-are.","1) Burger, 2) Chili, 3) Round Fries",10,"R",2010-10-01,3
"Jimmy's No. 43",,,,,,2010-10-01,3
"Joe's Pizza",,,,,,2010-10-01,3
"John Dory Oyster Bar",,,,,,2010-10-01,3
"JoJo",,,,,,2010-10-01,3
"Jo's",,,,,,2010-10-01,3
"Joseph Leonard",,,,,,2010-10-01,3
"Kajitsu","**","No meat, no fish - no problem.  Even your most staunch carnivore will be licking their chops at this superb Japanese restaurant specializing in Shojin cuisine, the most pristine vegetarian cooking developed in the temples of Zen Buddhism","1) Red Miso soup with grilled eggplant 2) Whole Spaghetti Squash filled with spring vegetable soup over crisp tempura 3) homemade soba noodles",9,"R",2010-10-01,3
"Kanoyama",,,,,,2010-10-01,3
"Katz's Deli","Bib Gourmand","In the never ending debate of who serves the best pastrami in the city, Katz's often tops the list?queue up in front of the salty countermen, collect your meal, and score a table.","1) Matzoh Ball Soup 2) Corned Beef on Rye",10,"R",2010-10-01,3
"Keen's",,,,,,2010-10-01,3
"Kefi ",,,,,,2010-10-01,3
"Keste",,,,,,2010-10-01,3
