"name","cuisine1","cuisine2","cuisine3","vegetarian","address","phone","url","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","price","opentable","menupages"
"Acappella","Italian",,,,"1 Hudson St #A, New York, NY 10013","212-240-0163","http://www.acappella-restaurant.com/",,"12:00 PM - 3:00 PM, 5:00 PM - 11:00 PM","12:00 PM - 3:00 PM, 5:00 PM - 11:00 PM","12:00 PM - 3:00 PM, 5:00 PM - 11:00 PM","12:00 PM - 3:00 PM, 5:00 PM - 11:00 PM","12:00 PM - 3:00 PM, 5:00 PM - 11:00 PM","5:00 PM - 11:00 PM","$$$-$$$$","NOT FOUND","http://newyorkcity.menupages.com/restaurants/acappella/menu"
"Accademia di Vino","Italian",,,"x","1081 3rd Ave, New York, NY 10065","212-888-6333","http://accademiadivino.com/","12:00pm-2:00pm, 5:00pm-11:00pm","12:00pm-2:00pm, 5:00pm-11:00pm","12:00pm-2:00pm, 5:00pm-11:00pm","12:00pm-2:00pm, 5:00pm-11:00pm","12:00pm-2:00pm, 5:00pm-11:00pm","12:00pm-2:00pm, 5:00pm-11:00pm","12:00pm-2:00pm, 5:00pm-11:00pm","$$$","http://www.opentable.com/accademia-di-vino","http://newyorkcity.menupages.com/restaurants/accademia-di-vino/menu"
"Adour","French","European",,"x","2 E 55th St, New York, NY 10022","212-710-2277","http://www.adour-stregis.com/","6:00 PM - 10:00 PM","6:00 PM - 10:00 PM","6:00 PM - 10:00 PM","6:00 PM - 10:00 PM","6:00 PM - 10:00 PM","6:00 PM - 10:30 PM","6:00 PM - 10:30 PM","$$$$","http://www.opentable.com/adour-alain-ducasse-at-the-st-regis-new-york","http://newyorkcity.menupages.com/restaurants/adour-alain-ducasse/menu"
"Ai Fiori","Italian",,,,"400 5th Ave, New York, NY 10018","212-613-8660","http://aifiorinyc.com/","8:00 AM - 4:00 PM, 5:00 PM - 12 AM","7:00 AM - 11:00 AM, 11:45 AM - 3:00 PM, 5:30 PM - 11:30 PM","7:00 AM - 11:00 AM, 11:45 AM - 3:00 PM, 5:30 PM - 11:30 PM","7:00 AM - 11:00 AM, 11:45 AM - 3:00 PM, 5:30 PM - 11:30 PM","7:00 AM - 11:00 AM, 11:45 AM - 3:00 PM, 5:30 PM - 11:30 PM","7:00 AM - 11:00 AM, 11:45 AM - 3:00 PM, 5:30 PM - 11:30 PM","8:00 AM - 4:00 PM, 5:00 PM - 12 AM","$$$$","NOT FOUND","http://newyorkcity.menupages.com/restaurants/ai-fiori/menu"
"al Bustan","Middle Eastern",,,"x","319 E 53rd St, New York, NY 10022","212-759-5933","http://www.albustanny.com/","12:00 PM - 10:30 PM","12:00 PM - 10:30 PM","12:00 PM - 10:30 PM","12:00 PM - 10:30 PM","12:00 PM - 10:30 PM","12:00 PM - 10:30 PM","12:00 PM - 10:30 PM","$$$","http://www.opentable.com/al-bustan","http://newyorkcity.menupages.com/restaurants/al-bustan/menu"
"Al Di La","Italian",,,"x","248 5th Ave, New York, NY 11215","718-783-4565","http://aldilatrattoria.com/","12:00 AM - 3:30 PM, 5:00 PM - 10:00 PM","12:00 AM - 3:30 PM, 5:00 PM - 10:00 PM","6:00 PM - 10:30 PM","12:00 AM - 3:30 PM, 5:00 PM - 10:00 PM","12:00 AM - 3:30 PM, 5:00 PM - 10:00 PM","12:00 AM - 3:30 PM, 5:00 PM - 11:00 PM","12:00 AM - 3:30 PM, 5:00 PM - 10:00 PM","$$","NOT FOUND","http://newyorkcity.menupages.com/restaurants/al-di-la/menu"
"Aldea","Mediterranean","European",,"x","31 W 17th St, New York, NY 10011","212-675-7223","http://aldearestaurant.com/",,"5:30 PM - 11:00 PM","5:30 PM - 11:00 PM","5:30 PM - 11:00 PM","5:30 PM - 11:00 PM","5:30 PM - 12:00 PM","5:30 PM - 12:00 PM","$$","http://www.opentable.com/aldea","http://newyorkcity.menupages.com/restaurants/aldea/menu"
"Alta","Tapas","Contemporary",,,"64 W 10th St, New York, NY 10011","212-505-7777","http://www.altarestaurant.com/","6:00 PM - 10:30 PM","6:00 PM - 11:00 PM","6:00 PM - 11:00 PM","6:00 PM - 11:00 PM","6:00 PM - 11:00 PM","5:30 PM - 1:00 AM","5:30 PM - 1:00 AM","$$","not found","http://newyorkcity.menupages.com/restaurants/alta/menu"
"Alto","Italian",,,,"11 E 53rd St, New York, NY 10022","212-308-1099","http://www.altorestaurant.com/",,"12:00 PM - 2:30 PM, 5:30 PM - 10:30 PM","12:00 PM - 2:30 PM, 5:30 PM - 10:30 PM","12:00 PM - 2:30 PM, 5:30 PM - 10:30 PM","12:00 PM - 2:30 PM, 5:30 PM - 10:30 PM","12:00 PM - 2:30 PM, 5:30 PM - 11:00 PM","5:00 PM - 11:00 PM","$$$$","http://www.opentable.com/alto","http://newyorkcity.menupages.com/restaurants/alto/menu"
"Amber West","Asian","Japanese","Thai","x","221 Columbus Ave, New York, NY 10023","212-799-8100","http://www.amberwestside.com/","12:00 PM - 11:30 PM","11:30 AM - 11:30 PM","11:30 AM - 11:30 PM","11:30 AM - 11:30 PM","11:30 AM - 11:30 PM","11:30 AM - 11:30 PM","12:00 PM - 11:30 PM","$$","http://www.opentable.com/amber-west","http://newyorkcity.menupages.com/restaurants/amber/menu"
"Amma","Indian",,,"x","246 E 51st St #2, New York, NY 10022","212-644-8330","http://www.ammanyc.com/","12:00 PM - 3:00 PM, 5:00 PM - 10:30 PM","12:00 PM - 3:00 PM, 5:00 PM - 10:30 PM","12:00 PM - 3:00 PM, 5:00 PM - 10:30 PM","12:00 PM - 3:00 PM, 5:00 PM - 10:30 PM","12:00 PM - 3:00 PM, 5:00 PM - 10:30 PM","12:00 PM - 3:00 PM, 5:00 PM - 10:30 PM","12:00 PM - 3:00 PM, 5:00 PM - 10:30 PM","$$$$","http://www.opentable.com/amma","http://newyorkcity.menupages.com/restaurants/amma/menu"
"Andy's Seafood & Grill","Chinese",,,,"95-26 Queens Blvd, New York, NY 11374","718-275-2388","http://andysseafoodgrillqueens.com","11:00 AM - 11:00 PM","11:00 AM - 11:00 PM","11:00 AM - 11:00 PM","11:00 AM - 11:00 PM","11:00 AM - 11:00 PM","11:00 AM - 11:00 PM","11:00 AM - 11:00 PM","$","NOT FOUND","http://andysseafoodgrillqueens.com/food-delivery/Andy-Seafood-Grill-New-York-City.11578.r?QueryStringValue=vew/PssJPX96kXnwBIu4eQ=="
"Annisa","Contemporary",,,,"13 Barrow St, New York, NY 10014","212-741-6699","http://www.annisarestaurant.com/","5:30 PM - 9:30 PM","5:30 PM - 10:30 PM","5:30 PM - 10:30 PM","5:30 PM - 10:30 PM","5:30 PM - 10:30 PM","5:30 PM - 10:30 PM","5:30 PM - 10:30 PM","$$$$","http://www.opentable.com/annisa","http://www.annisarestaurant.com/menus.htm"
"Apiary","American",,,,"60 3rd Ave #A, New York, NY 10003","212-254-0888","http://www.apiarynyc.com/","5:30 PM - 10:00 PM","5:30 PM - 10:00 PM","5:30 PM - 10:30 PM","5:30 PM - 10:30 PM","5:30 PM - 10:30 PM","5:30 PM - 11:30 PM","5:30 PM - 11:30 PM","$$$","http://www.opentable.com/apiary","http://newyorkcity.menupages.com/restaurants/apiary/menu"
"?pizz","Italian",,,,"217 Eldridge St, New York, NY 10002","212-253-9199","http://www.apizz.com/",,"6:00 PM - 11:00 PM","6:00 PM - 11:00 PM","6:00 PM - 11:00 PM","6:00 PM - 11:00 PM","6:00 PM - 11:00 PM","6:00 PM - 11:00 PM","$$$","http://www.opentable.com/apizz","http://newyorkcity.menupages.com/restaurants/apizz/menu"
"Aqua Grill","Seafood","American",,,"210 Spring St, New York, NY 10012","212-274-0505","http://www.aquagrill.com/","12:00 PM - 3:45 PM, 6:00 PM - 10:30 PM","12:00 PM - 3:00 PM, 6:00 PM - 10:45 PM","12:00 PM - 3:00 PM, 6:00 PM - 10:45 PM","12:00 PM - 3:00 PM, 6:00 PM - 10:45 PM","12:00 PM - 3:00 PM, 6:00 PM - 10:45 PM","12:00 PM - 3:00 PM, 6:00 PM - 11:45 PM","12:00 PM - 4:00 PM, 6:00 PM - 11:45 PM","$$$","NOT FOUND","http://newyorkcity.menupages.com/restaurants/aquagrill/menu"
"Aquavit","European",,,"x","65 E 55th St, New York, NY 10022","212-307-7311","http://www.aquavit.org/restaurant/newyork/index.asp","12:00 PM - 2:30 PM, 5:30 PM - 10:30 AM","12:00 PM - 2:30 PM, 5:30 PM - 10:30 AM","12:00 PM - 2:30 PM, 5:30 PM - 10:30 AM","12:00 PM - 2:30 PM, 5:30 PM - 10:30 AM","12:00 PM - 2:30 PM, 5:30 PM - 10:30 AM","12:00 PM - 2:30 PM, 5:30 PM - 10:30 AM","12:00 PM - 2:30 PM, 5:30 PM - 10:30 AM","$$$$","http://www.opentable.com/aquavit-dining-room","http://newyorkcity.menupages.com/restaurants/aquavit/menu"
"Ardesia","Tapas","Contemporary",,,"510 W 52nd St, New York, NY 10019","212-247-9191","http://www.ardesia-ny.com/","4:00 PM - 11:00 PM","5:00 PM - 12:00 AM","5:00 PM - 12:00 AM","5:00 PM - 12:00 AM","5:00 PM - 2:00 AM","5:00 PM - 2:00 AM","4:00 PM - 2:00 AM","$$","NOT FOUND","http://newyorkcity.menupages.com/restaurants/ardesia/menu"
"Aroma Kitchen & Wine Bar","Italian",,,,"36 E 4th St, New York, NY 10003","212-375-0100","http://www.aromanyc.com/index.html","5:00 PM - 12:00 AM","5:00 PM - 12:00 AM","5:00 PM - 12:00 AM","5:00 PM - 12:00 AM","5:00 PM - 12:00 AM","5:00 PM - 1:00 AM","5:00 PM - 1:00 AM","$$","NOT FOUND","http://newyorkcity.menupages.com/restaurants/aroma/menu"
"Artichoke Basille's Pizza and Brewery","Italian","Pizza",,"x","328 14th Street, New York, NY 10003","212-228-2004","http://www.artichokepizza.com/","11:00 am - 5:00 am","11:00 am - 5:00 am","11:00 am - 5:00 am","11:00 am - 5:00 am","11:00 am - 5:00 am","11:00 am - 5:00 am","11:00 am - 5:00 am","$$","NOT FOUND","http://newyorkcity.menupages.com/restaurants/artichoke-basilles-2/menu"
"Artisanal","French",,,,"2 Park Avenue, New York, NY 10016","212-725-8385","http://www.artisanalbistro.com/","11:00 AM - 10:00 PM","12:00-10:00 PM","12:00-10:00 PM","12:00-10:00 PM","12:00-10:00 PM","12:00-10:00 PM","11:00 AM - 11:00 PM","$$$","http://www.opentable.com/artisanal","http://www.menupages.com/restaurants/artisanal/menu"
"Arturos Restaurant","Italian","Pizza",,"x","106 West Houston Street, New York, NY 10012","212-677-3820",,,"4:00 PM - 1 AM","4:00 PM - 1 AM","4:00 PM - 1 AM","4:00 PM - 1 AM","4:00 PM - 1 AM","4:00 PM - 1 AM","$$","NOT FOUND","http://newyorkcity.menupages.com/restaurants/arturos/menu"
"Asia de Cuba","Fusion","Asian","Latin American",,"237 Madison Avenue, New York, NY 10016","212-726-7755","http://www.chinagrillmgt.com/","5:30 PM - 11:00 PM","12:00 PM - 3:00 PM, 5:30 PM - 11:00 PM","12:00 PM - 3:00 PM, 5:30 PM - 11:00 PM","12:00 PM - 3:00 PM, 5:30 PM - 11:00 PM","12:00 PM - 3:00 PM, 5:30 PM - 11:00 PM","12:00 PM - 3:00 PM, 5:30 PM - 11:00 PM","12:00 PM - 3:00 PM, 5:30 PM - 11:00 PM","$$$$","http://www.opentable.com/asia-de-cuba-new-york","http://newyorkcity.menupages.com/restaurants/asia-de-cuba/menu"
"Asiate","Fusion","Asian","French",,"80 Columbus Cir #35, New York, NY 10023","212-805-8881","http://www.mandarinoriental.com/newyork/dining/asiate/","7:00 PM - 10:30 AM, 11:30 AM - 2:00 PM, 6:00 PM - 9:00 PM","7:00 AM - 10:30 AM, 12:00 PM - 2:00 PM, 6:00 PM - 10:00 PM","7:00 AM - 10:30 AM, 12:00 PM - 2:00 PM, 6:00 PM - 10:00 PM","7:00 AM - 10:30 AM, 12:00 PM - 2:00 PM, 6:00 PM - 10:00 PM","7:00 AM - 10:30 AM, 12:00 PM - 2:00 PM, 6:00 PM - 10:00 PM","7:00 AM - 10:30 AM, 12:00 PM - 2:00 PM, 6:00 PM - 10:00 PM","7:00 AM - 10:30 AM, 6:00 PM - 10:00 PM","$$$$","http://www.opentable.com/asiate","http://newyorkcity.menupages.com/restaurants/asiate/menu"
"Atlantic Grill","Seafood",,,,"1341 3rd Avenue New York, NY 10075","212-988-9200","http://www.brguestrestaurants.com/","10:30 AM - 11:00 PM","11:30 AM - 12:00 AM","11:30 AM - 12:00 AM","11:30 AM - 12:00 AM","11:30 AM - 12:00 AM","11:30 AM - 12:30 AM","11:30 AM - 12:30 AM","$$$","http://www.opentable.com/atlantic-grill-eastside","http://www.brguestrestaurants.com/restaurants/atlantic_grill/menu.php"
"August","European","Bistro",,,"359 Bleecker Street, New York, NY 10014","212-929-4774","http://augustny.com/","11:00 AM - 3:30 PM, 5:30 PM - 10:00 PM","12:00 AM - 3:30 PM, 5:30 PM - 11:00 PM","12:00 AM - 3:30 PM, 5:30 PM - 11:00 PM","12:00 AM - 3:30 PM, 5:30 PM - 11:00 PM","12:00 AM - 3:30 PM, 5:30 PM - 11:00 PM","12:00 AM - 3:30 PM, 5:30 PM - 12:00 AM","11:00 AM - 3:30 PM, 5:30 PM - 12:00 AM","$$$","NOT FOUND","http://newyorkcity.menupages.com/restaurants/august/menu"
"Aureole","American",,,"x","135 W 42nd St, New York, NY 10036","212-319-1660","http://www.charliepalmer.com","5:00 PM - 11:00 PM","12:00 PM - 11:00 PM","12:00 PM - 11:00 PM","12:00 PM - 11:00 PM","12:00 PM - 11:00 PM","12:00 PM - 11:00 PM","12:00 PM - 11:00 PM","$$$","http://www.opentable.com/aureole-new-york","http://newyorkcity.menupages.com/restaurants/aureole/menu"
"Aurora","Italian",,,"x","510 Broome Street, New York, NY 10013","212-334-9020","http://www.auroraristorante.com/sohohome.html","11:00 AM - 4:00 PM, 5:00 PM - 11:00 PM","12:00 PM - 3:30 PM, 5:00 PM - 11:00 PM","12:00 PM - 3:30 PM, 5:00 PM - 11:00 PM","12:00 PM - 3:30 PM, 5:00 PM - 11:00 PM","12:00 PM - 3:30 PM, 5:00 PM - 11:00 PM","12:00 PM - 3:30 PM, 5:00 PM - 12:00 AM","12:00 PM - 4:00 PM, 5:00 PM - 12:00 AM","$$","http://www.opentable.com/aurora-soho","http://newyorkcity.menupages.com/restaurants/aurora-soho/"
"Babbo","Italian",,,"x","110 Waverly Pl #A, New York, NY 10011","212-777-0303","http://www.babbonyc.com/","5:00 PM - 11:00 PM","5:30 PM - 11:30 PM","5:30 PM - 11:30 PM","5:30 PM - 11:30 PM","5:30 PM - 11:30 PM","5:30 PM - 11:30 PM","5:30 PM - 11:30 PM","$$$","NOT FOUND","http://newyorkcity.menupages.com/restaurants/babbo/menu"
"Bacaro","Italian",,,"x","136 Division St, New York, NY 10002","212-941-5060","http://www.bacaronyc.com/","6:00 PM - 12:00 AM",,"6:00 PM - 12:00 AM","6:00 PM - 12:00 AM","6:00 PM - 12:00 AM","6:00 PM - 12:00 AM","6:00 PM - 12:00 AM","$$","http://www.opentable.com/Bacaro","http://newyorkcity.menupages.com/restaurants/bacaro/menu"
"Baci & Abbracci","Italian","Bistro","Pizza","x","204 Grand St, New York, NY 11211","718-599-6599","http://www.baciny.com/","12:00 PM - 11:00 PM","4:00 PM - 12:00 AM","4:00 PM - 12:00 AM","4:00 PM - 12:00 AM","4:00 PM - 12:00 AM","4:00 PM - 12:00 AM","12:00 PM - 1:00 AM","$$","http://www.opentable.com/baci-abbracci","http://newyorkcity.menupages.com/restaurants/baci-abbracci/menu"
"Back Forty","American","Burgers",,,"Frnt 1, 190 Avenue B New York, NY 10009","212-388-1990","http://www.backfortynyc.com/","6:00 PM - 10:00 PM","6:00 PM - 11:00 PM","6:00 PM - 11:00 PM","6:00 PM - 11:00 PM","6:00 PM - 11:00 PM","6:00 PM - 12:00 AM","11:30 AM - 3:30 PM, 6:00 PM - 12:00 AM","$$","NOT FOUND","http://newyorkcity.menupages.com/restaurants/back-forty/menu"
"Bahari estiatorio","Greek",,,"x","3114 Broadway, Astoria, NY 11105","718-204-8968","http://bahariestiatorio.com/","12:00 PM - 12:00 AM","12:00 PM - 12:00 AM","12:00 PM - 12:00 AM","12:00 PM - 12:00 AM","12:00 PM - 12:00 AM","12:00 PM - 12:00 AM","12:00 PM - 12:00 AM","$$$","NOT FOUND","http://www.bahariestiatorio.com/menu.html"
"Balaboosta","Middle Eastern","Mediterranean",,"x","214 Mulberry St #1 New York, NY 10012","212-966-7366","http://www.bablaboostanyc.com","5:30 PM - 11:00 PM","5:30 PM - 11:00 PM","5:30 PM - 11:00 PM","5:30 PM - 11:00 PM","5:30 PM - 11:00 PM","5:30 PM - 12:00 PM","5:30 PM - 12:00 PM","$$$","http://www.opentable.com/balaboosta","http://newyorkcity.menupages.com/restaurants/balaboosta/menu"
"Balade","Middle Eastern","Mediterranean",,"x","208 1st Ave, New York, NY 10009","212-529-6868","http://www.baladerestaurants.com/","11:00 AM - 11:00 PM","11:00 AM - 11:00 PM","11:00 AM - 11:00 PM","11:00 AM - 11:00 PM","11:00 AM - 11:00 PM","11:00 AM - 11:00 PM","11:00 AM - 11:00 PM","$$","http://www.opentable.com/balade-pitza-and-grill","http://newyorkcity.menupages.com/restaurants/balade/menu"
"Balthazar","French","European",,,"80 Spring St, New York, NY 10012","212-965-1785","http://www.balthazarny.com/","8:00 AM - 4:00 PM, 5:30 PM - 12:00 AM","7:30 AM - 11:30 AM, 12:00 PM - 5:00 PM, 5:45 PM - 1:00 AM","7:30 AM - 11:30 AM, 12:00 PM - 5:00 PM, 5:45 PM - 1:00 AM","7:30 AM - 11:30 AM, 12:00 PM - 5:00 PM, 5:45 PM - 1:00 AM","7:30 AM - 11:30 AM, 12:00 PM - 5:00 PM, 5:45 PM - 1:00 AM","7:30 AM - 11:30 AM, 12:00 PM - 5:00 PM, 5:45 PM - 1:00 AM","8:00 AM - 4:00 PM, 5:45 PM - 2:00 AM","$$$","NOT FOUND","http://newyorkcity.menupages.com/restaurants/balthazar/menu"
"Baoguette","Vietnamese","Asian",,,"61 Lexington Ave, New York, NY 10010","212-532-1133","http://www.baoguette.com/",,"8:00 AM - 8:00 PM","8:00 AM - 8:00 PM","8:00 AM - 8:00 PM","8:00 AM - 8:00 PM","8:00 AM - 8:00 PM","8:00 AM - 8:00 PM","$","NOT FOUND","http://newyorkcity.menupages.com/restaurants/baoguette/menu"
"Bar Americain","American",,,,"152 W 52nd St, New York, NY 10019","212-265-9700","http://www.baramericain.com/","11:30 AM - 2:30 PM, 5:00 PM - 10:00 PM","11:45 AM - 2:30 PM, 5:00 PM - 10:00 PM","11:45 AM - 2:30 PM, 5:00 PM - 11:00 PM","11:45 AM - 2:30 PM, 5:00 PM - 11:00 PM","11:45 AM - 2:30 PM, 5:00 PM - 11:00 PM","11:45 AM - 2:30 PM, 5:00 PM - 11:30 PM","11:30 AM - 2:30 PM, 5:00 PM - 11:30 PM","$$$$","http://www.opentable.com/bar-americain","http://newyorkcity.menupages.com/restaurants/bar-americain/menu"
"Bar Boulud","French","European",,,"1900 Broadway New York, NY 10023","212-595-0303","http://www.danielnyc.com/","11:00 AM - 2:30 PM, 5:00 PM - 10:00 PM","12:00 AM - 2:30 PM, 5:00 PM - 11:00 PM","12:00 AM - 2:30 PM, 5:00 PM - 11:00 PM","12:00 AM - 2:30 PM, 5:00 PM - 11:00 PM","12:00 AM - 2:30 PM, 5:00 PM - 11:00 PM","12:00 AM - 2:30 PM, 5:00 PM - 11:00 PM","11:00 AM - 2:30 PM, 5:00 PM - 11:00 PM","$$$","http://www.opentable.com/bar-boulud","http://newyorkcity.menupages.com/restaurants/bar-boulud/menu"
"Bar Breton","French",,,,"250 5th Ave, New York, NY 10001","212-213-5539","http://barbreton.com/","9:00 AM - 10:30 PM","11:00 AM - 10:30 PM","11:00 AM - 10:30 PM","11:00 AM - 10:30 PM","11:00 AM - 10:30 PM","11:00 AM - 10:30 PM","10:00 AM - 10:30 PM","$$","http://www.opentable.com/bar-breton","http://newyorkcity.menupages.com/restaurants/bar-breton/menu"
"Bar Carrera","European","Spanish",,,"175 2nd Ave #2, New York, NY 10003","212-375-1555","http://www.barcarrera.com/","6:00 PM - 2:00 AM","6:00 PM - 2:00 AM","6:00 PM - 2:00 AM","6:00 PM - 2:00 AM","6:00 PM - 2:00 AM","5:00 PM - 2:00 AM","5:00 PM - 2:00 AM","$","NOT FOUND","http://newyorkcity.menupages.com/restaurants/bar-carrera-2/menu"
"Bar Italia","Italian",,,"x","1477 2nd Ave, New York, NY 10075","212-249-5300","http://www.baritalianyc.com/","12:00 PM - 1:00 AM","4:00 PM - 2:00 AM","4:00 PM - 2:00 AM","4:00 PM - 2:00 AM","4:00 PM - 2:00 AM","12:00 PM - 3:00 AM","12:00 PM - 3:00 AM","$$$","NOT FOUND","http://newyorkcity.menupages.com/restaurants/bar-italia/menu"
"Bar Pitti","Italian",,,"x","268 Avenue of the Americas, New York, NY 10014","212-982-3300",,"12:00 PM - 12:00 AM","12:00 PM - 12:00 AM","12:00 PM - 12:00 AM","12:00 PM - 12:00 AM","12:00 PM - 12:00 AM","12:00 PM - 12:00 AM","12:00 PM - 12:00 AM","$$","NOT FOUND","http://newyorkcity.menupages.com/restaurants/bar-pitti/menu"
"Bar Stuzzichini","Italian",,,"x","928 Broadway, New York, NY 10010","212-780-5100","http://www.barstuzzichini.com/","11:00 AM - 10:00 PM","11:45 AM - 11:00 PM","11:45 AM - 11:00 PM","11:45 AM - 11:00 PM","11:45 AM - 11:00 PM","11:45 AM - 12:00 AM","11:00 AM - 12:00 AM","$$$","http://www.opentable.com/bar-stuzzichini","http://newyorkcity.menupages.com/restaurants/bar-stuzzichini/menu"
