restaurant_name,overall_score,food_score,ambience_score,service_score,good_dishes,bad_dishes,review
Red Rooster Harlem,6,6,7,6,"cornbread, mac n cheese, salmon, meatballs",,"Fascinating hybrid Southern/Swedish menu, only Samuelsson could pull this off! "
Rye,7,7,7,7,,,"Newcomer to Williamsburg, interesting menu and solid execution. Perfect for a weeknight dinner in the hood"
Sala One Nine,6,7,6,6,"patatas bravas, meatballs",,Reliable tapas spot with sangria and the usual tapas suspects. 
Seasonal,7,8,6,7,anything with spaetzle,,"Upscale Austrian in a quiet environment, attracts Midtown tourist crowd. Wallse is my preferred upscale Austrian "
Sorella,7,7,7,7,,,"The hip young staff, daring Northern Italian menu, and intriguing wine list make this Emma Hearst debut a success. She has now matched it with Stellina, the neighboring gelato bar that we all were craving. The chocolate sorbet is heavenly. A well-suited pairing for a girls night out in the LES"
Spotted Pig,7,7,9,6,gnudi,,"The ambiance is what really makes this spot great, but it comes with the all the hoopla of April Bloomfield and usually a wait. But when I think about it, my favorite Spotted Pig moments are at the bar, in the midst of the hoopla. "
Supper,8,9,8,7,"panzanella, bolognese, eggplant marinara",,One of the best dining values in NYC. Be preprared to wait - its worth it! 
Sushi Seki,4,5,4,4,,,"I still do not get this place's reputation - seems like generic sushi, tasty and unpretentious, but not what I had expected given the hype"
Telepan,8,9,7,8,"veal sausage cannelloni, s'mores dessert",,"The prix fixe menu here is one of the best reasons to dine Upper West. Bill Telepan has been consistent in his high-quality, inventive menus, while somehow remaining somewhat under the radar. Brunch is also fantastic "
The Fat Radish,7,7,7,6,beet crumble,,"My first interaction with the Beet Crumble was one of immediate infatuation. This is the best dish on the menu, if you are a beet person. I cant justify going back for much else, as the rest of the menu has underwhelmed me. The setting is similar to Kingswood (same owners), but with a LES twist. "
The Red Cat,7,8,6,6,"heirloom tomato and feta salad, cioppino ",,One of the early entrants to West Chelsea and still one of the best options in the area. The interesting side dishes compliment the varying menu. I can always rely on the freshest produce and worth-saving-room desserts.
The Smith,7,7,8,7,"brussel sprouts, avocado salad, pumpkin salad, french toast",,"One of the most successful newcomers to the East Village in recent years. The Smith is always packed and yet, never seems to falter in delivering well-executed, if not straightforward, food. They throw in a few eclectic menu items to spice it up - like Bim Bim Bap - but stick with the basics. The salads, brussel sprouts and mussels are winners, as are the decadent sundaes for desserts."
Uva,7,7,8,7,"truffle-robiola flatbread, salads",,Upper East could use about a dozen more Uvas. The garden and dowstairs wine cave are the best spots in the house to savor the truffle-robiola flatbread and excellent salads. Great for a girls dinner with reasonably priced bottles of wine and shared plates. 
Via Quadronno,5,4,7,5,,,"Shockingly overpriced for what it is. If you want to come to enjoy the Upper East side scene, just grab a coffee at the front tables and forego the underwhelming food. "
Wallse,7,7,7,7,,,"The first of this Austro-NY Empire is also the most upscale. The food is excellent, and setting is more romantic than Blaue Gans or Café Kristall. Its Midtown rival Seasonal also does excellent Austrian fare. "
Westville - West,6,7,6,6,"brussel sprouts, artichokes",,"When I lived in France for a time, I used to pine for Westville's veggie plate with my four top choices: artichokes, brussel sprouts, beets, and butternut squash. Mentally construct your own from the myriad fresh options as you wait in line. Those in the hood are wise to order delivery to avoid the wait! The turkey burgers, grilled cheese and other comfort foods are hits as well. There are now three locations, with the original West Village location being the smallest and least hospitable. "
