restaurant_name,overall_score,food_score,ambience_score,service_score,good_dishes,bad_dishes,review
Grimaldi's - Chelsea,7,10,5,5,pizza,,
Keste,8,10,6,7,butternut squash pizza,,Best neapolitan-style pizza in manhattan.  Butternut squash pizza is unique and delicious.  Tomato sauce is so fresh.  Be prepared to wait for a table.  
Kittichai,7,7,8,6,"braised short ribs, scallops, hangar steak",,"Good high-end thai food.  I prefer the more unique dishes - briased short ribs, scallops, hangar steak - the ingredients which are difficult to find at the typical ny down-market thai restaurants.  Staples such as mango salad and pad thai are good also.  Decor is nice.  They also offer a brunch special on weekends which is a pretty good deal.  "
Les Halles,8,8,7,8,"Steak salad, French onion soup",,"Classic French Bistro fare, well-executed in a casual and fun setting.  Waitstaff was really helpful and accomodating of our kids"
Lure Fishbar,7,7,6,7,"lobster roll, burger, crab cakes",,"Great seafood spot in soho.  Décor is a bit tacky (designed to look like the inside of an *ugly but expensive* ship).  Recently attended an event they catered, highly recommend, the food did not suffer at all for being served outside the restaurant. "
Maya,9,9,8,9,"mole poblano, mahi mahi, camarones al chipotle, tampiquena",,Richard Sandoval is the best mexican food chef in NYC.  Inconvenient location but food is worth the travel. 
Mercadito,7,8,6,6,"guacamoles, all tacos, all ceviches",,Richard Sandoval's brother *might* just be the 2nd best mexican food chef in NYC!!! 
Naya,6,7,6,6,chicken shish taouk,,Ever live in London?  Miss lebanese food?  Finally available in NYC!  This place is solid.  It's no Noura's but it's cheaper than buying a plane ticket.  
Otto,6,6,6,6,,,"Excellent Excellent Excellent wine list.  Best wine list in the city for a restaurant with these price points.  You can enjoy a $300 bottle of barolo or brunello di montalcino with your $10 pizza, Sideways-style!  Food is ok.  Pizza is roman style thin crust, not my favorite.  Pastas are uninspired but well executed for the most part.  Vegetable starters and salads are my favorite part of this meal.  "
Pampano,8,8,8,8,"ceviche tasting, all seafood mains",,"New mexican - a more conveniently located, slightly less tasty version of Maya with more emphasis on seafood on the menu.  Great roofdeck for summertime al fresco dining.  "
Perry Street,8,8,8,8,"crispy calamari, truffle crusted cod",,"Have only been for weekend brunch - which is a steal at $26 for 3 courses.  The crispy calamari is very good, with a unique batter and sauce combo - very different.  Truffle crusted cod is very good.  Ambience / décor is somewhat corporate, but the location right across the street from the water is nice.  "
Picholine,5,5,5,5,,,"Service was weird.  We went on a Saturday night, place was only 2/3 full, yet we were given a pretty crappy table.  We sat through the waiter telling us about specials before asking for new seats, only to have him not realize it and read us the whole specials list at our NEW table - WEIRD!  Food was really unimaginative and not very good.  Can't even remember anything I ate - so it wasn't so bad it left an impression, but with the ratings this place has I was very disappointed in the whole experience."
Pipa,7,6,8,7,,,"A flatiron staple - good, reliable tapas.  Fun vibe, just the right noise level for a social night out.  Wouldn't take kids.  Love the kitschy décor.  As a person who is not a fan of boqueria, I like the tapas at Pipa.  Love the fact that it is still buzzing a decade after opening. "
Raoul's,9,9,9,8,"Octopus with chickpeas, any of the seafood main courses, steak au poivre, quinoa vinaigrette",,Great french bistro fare - great for people watching - bit crowded but that's part of the vibe.  
Rosa Mexicano - Flatiron,7,6,7,7,,,"Food was much better 5 years ago.  Still solid and reliable for the staples - steak tacos, guacamole, etc.  But seafood is not as fresh as it used to be.  Good private rooms for hosting events - excellent service for private events.  "
Saravanaas,6,7,6,5,"mini tiffin platter, dosas, idli",,"Good solid south Indian food - wear machine washable clothing to this restaurant, you will come out smelling like the food! "
Shake Shack - Madison Square Park,6,8,5,5,,,"Danny Meyer + burgers for under $5, what more is there to say?"
Stanton Social,8,8,9,7,"pierogies, french onion soup dumplings, spinach salad, red snapper tacos, chipotle grilled shrimp, all the different sliders. ",,"Fancy comfort food with a trendy downtown vibe.  Great cocktails, great food, great décor, pretty good ppl watching to boot.  "
Tamarind,7,7,8,7,,,"Another flatiron staple (see Pipa review) - serving up high end indian food reliably and consistently for over a decade.  Not as imaginative as some of our favorite indian spots in London, but gets the job done if what you seek is indian fare with a little less grease and a little more class.  Check out the tearoom next door for delicious sandwiches (and tea!) on a saturday afternoon. "
The Standard Grill,7,7,8,7,,,Surprisingly good food for a trendy restaurant!  Walk-in early and snag a table in the bar area at this tough-to-get-a-reservation MPD hotspot. 
